,Time Interval,Average Packet Size,Standard Deviation Packet Size,Median Packet Size,Average Packet Intervals,Standard Deviation Packet Intervals,Median Packet Intervals,Inbound Packets,Outbound Packets,Total Packets,Cluster,Persona
573,"(286.5, 287.0)",960.0229007633587,164.36130302799168,962.0,0.0038263053435114492,0.00457674146409048,0.000726,64,67,131,1,1
574,"(287.0, 287.5)",948.7142857142856,164.5777558307492,959.5,0.0038831507936507924,0.004765424000556442,0.0007255,59,67,126,1,1
575,"(287.5, 288.0)",961.3700787401576,231.53438508905143,995.0,0.00391799212598425,0.004832675649007386,0.000666,60,67,127,1,1
576,"(288.0, 288.5)",918.9230769230768,247.47494045629367,959.0,0.003367944055944055,0.004304339732416515,0.000653,73,70,143,1,1
577,"(288.5, 289.0)",984.780303030303,157.20057273140918,1023.0,0.0035907348484848483,0.004504229626940821,0.0004885,67,65,132,1,1
578,"(289.0, 289.5)",948.4335664335664,216.90763788396725,973.0,0.003432062937062935,0.00464764990320609,0.000562,72,71,143,1,1
579,"(289.5, 290.0)",930.0909090909092,261.6925652738156,979.0,0.0034992027972027967,0.004407958322314281,0.0008179999999999999,70,73,143,1,1
580,"(290.0, 290.5)",940.2291666666665,202.9979406265033,955.5,0.003404423611111111,0.00442539665415107,0.000952,76,68,144,1,1
581,"(290.5, 291.0)",955.290780141844,199.03996508264703,986.0,0.0035519148936170204,0.0044679333725198495,0.000583,72,69,141,1,1
582,"(291.0, 291.5)",961.2089552238806,182.73247937065085,1017.0,0.0036952313432835828,0.004707016308132496,0.000742,66,68,134,1,1
583,"(291.5, 292.0)",884.0942028985507,256.05855533797114,941.0,0.0034998043478260852,0.004682063165634169,0.0006360000000000001,66,72,138,1,1
584,"(292.0, 292.5)",947.2720588235294,222.5218912880181,934.5,0.0034422426470588218,0.004416914702463069,0.000712,68,68,136,1,1
585,"(292.5, 293.0)",925.4233576642335,176.49611404769604,934.0,0.003579627737226276,0.004673987935446087,0.000496,67,70,137,1,1
586,"(293.0, 293.5)",949.6838235294116,180.8470891728959,1008.0,0.0034998749999999995,0.0044310035790543646,0.0005690000000000001,69,67,136,1,1
587,"(293.5, 294.0)",943.2330827067668,195.78721780243697,1002.0,0.0037875563909774406,0.004733978123090774,0.000542,64,69,133,1,1
588,"(294.0, 294.5)",931.2357142857144,189.97306172965526,990.0,0.003534064285714281,0.004614725902381527,0.0005035,68,72,140,1,1
